lat: 31.482806, lng: 74.311484, accuracy:5.000000
lat: 31.482811, lng: 74.311507, accuracy:5.000000
lat: 31.500151, lng: 74.316819, accuracy:10.000000
lat: 31.500173, lng: 74.316925, accuracy:10.000000
lat: 31.500173, lng: 74.316925, accuracy:10.000000
lat: 31.500166, lng: 74.316936, accuracy:10.000000
lat: 31.500210, lng: 74.316900, accuracy:5.000000
lat: 31.500224, lng: 74.316922, accuracy:10.000000
lat: 31.500230, lng: 74.316923, accuracy:5.000000
lat: 31.500230, lng: 74.316923, accuracy:5.000000
lat: 31.500230, lng: 74.316923, accuracy:5.000000
lat: 31.500234, lng: 74.316960, accuracy:5.000000
lat: 31.500234, lng: 74.316960, accuracy:5.000000
lat: 31.500234, lng: 74.316960, accuracy:5.000000
lat: 31.500234, lng: 74.316960, accuracy:5.000000
lat: 31.500249, lng: 74.316952, accuracy:5.000000
lat: 31.500245, lng: 74.316944, accuracy:5.000000
lat: 31.500246, lng: 74.316949, accuracy:5.000000
lat: 31.500243, lng: 74.316956, accuracy:5.000000
lat: 31.500242, lng: 74.316961, accuracy:5.000000
lat: 31.500241, lng: 74.316966, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500243, lng: 74.316968, accuracy:5.000000
lat: 31.500238, lng: 74.317009, accuracy:5.000000
lat: 31.500238, lng: 74.317009, accuracy:5.000000
lat: 31.500238, lng: 74.317009, accuracy:5.000000
lat: 31.500238, lng: 74.317009, accuracy:5.000000
lat: 31.500242, lng: 74.317003, accuracy:5.000000
lat: 31.500240, lng: 74.316994, accuracy:5.000000
lat: 31.500235, lng: 74.316979, accuracy:5.000000
lat: 31.500231, lng: 74.316962, accuracy:5.000000
lat: 31.500231, lng: 74.316962, accuracy:5.000000
lat: 31.500231, lng: 74.316962, accuracy:5.000000
lat: 31.500231, lng: 74.316962, accuracy:5.000000
lat: 31.500211, lng: 74.316912, accuracy:5.000000
lat: 31.500211, lng: 74.316912, accuracy:5.000000
lat: 31.500211, lng: 74.316912, accuracy:5.000000
lat: 31.500211, lng: 74.316912, accuracy:10.000000
lat: 31.500211, lng: 74.316912, accuracy:10.000000
lat: 31.500211, lng: 74.316912, accuracy:10.000000
lat: 31.500211, lng: 74.316912, accuracy:10.000000
lat: 31.500211, lng: 74.316912, accuracy:10.000000
lat: 31.500211, lng: 74.316912, accuracy:10.000000
lat: 31.500211, lng: 74.316912, accuracy:10.000000
lat: 31.500188, lng: 74.316951, accuracy:10.000000
lat: 31.500188, lng: 74.316951, accuracy:10.000000
lat: 31.500169, lng: 74.316965, accuracy:10.000000
lat: 31.500164, lng: 74.316951, accuracy:10.000000
lat: 31.500164, lng: 74.316938, accuracy:10.000000
lat: 31.500163, lng: 74.316930, accuracy:10.000000
lat: 31.500168, lng: 74.316922, accuracy:10.000000
lat: 31.500185, lng: 74.316943, accuracy:10.000000
lat: 31.500203, lng: 74.316972, accuracy:10.000000
lat: 31.500222, lng: 74.317012, accuracy:10.000000
lat: 31.500252, lng: 74.317074, accuracy:10.000000
lat: 31.500279, lng: 74.317138, accuracy:10.000000
lat: 31.500339, lng: 74.317246, accuracy:10.000000
lat: 31.500342, lng: 74.317334, accuracy:10.000000
lat: 31.500352, lng: 74.317418, accuracy:10.000000
lat: 31.500368, lng: 74.317494, accuracy:10.000000
lat: 31.500384, lng: 74.317576, accuracy:10.000000
lat: 31.500399, lng: 74.317642, accuracy:10.000000
lat: 31.500413, lng: 74.317748, accuracy:10.000000
lat: 31.500442, lng: 74.317856, accuracy:10.000000
lat: 31.500462, lng: 74.317954, accuracy:10.000000
lat: 31.500484, lng: 74.318045, accuracy:10.000000
lat: 31.500505, lng: 74.318140, accuracy:10.000000
lat: 31.500543, lng: 74.318261, accuracy:10.000000
lat: 31.500589, lng: 74.318380, accuracy:10.000000
lat: 31.500615, lng: 74.318475, accuracy:10.000000
lat: 31.500628, lng: 74.318565, accuracy:10.000000
lat: 31.500653, lng: 74.318662, accuracy:10.000000
lat: 31.500671, lng: 74.318760, accuracy:10.000000
lat: 31.500700, lng: 74.318867, accuracy:10.000000
lat: 31.500745, lng: 74.318958, accuracy:10.000000
lat: 31.500767, lng: 74.319021, accuracy:10.000000
lat: 31.500779, lng: 74.319094, accuracy:10.000000
lat: 31.500801, lng: 74.319184, accuracy:10.000000
lat: 31.500830, lng: 74.319269, accuracy:10.000000
lat: 31.500856, lng: 74.319375, accuracy:10.000000
lat: 31.500873, lng: 74.319472, accuracy:10.000000
lat: 31.500877, lng: 74.319573, accuracy:10.000000
lat: 31.500894, lng: 74.319669, accuracy:10.000000
lat: 31.500920, lng: 74.319764, accuracy:10.000000
lat: 31.500958, lng: 74.319861, accuracy:10.000000
lat: 31.500985, lng: 74.319954, accuracy:10.000000
lat: 31.501013, lng: 74.320036, accuracy:10.000000
lat: 31.501045, lng: 74.320130, accuracy:10.000000
lat: 31.501086, lng: 74.320212, accuracy:10.000000
lat: 31.501118, lng: 74.320307, accuracy:10.000000
lat: 31.501152, lng: 74.320407, accuracy:10.000000
lat: 31.501171, lng: 74.320506, accuracy:10.000000
lat: 31.501199, lng: 74.320578, accuracy:10.000000
lat: 31.501235, lng: 74.320664, accuracy:10.000000
lat: 31.501267, lng: 74.320757, accuracy:10.000000
lat: 31.501295, lng: 74.320854, accuracy:10.000000
lat: 31.501325, lng: 74.320952, accuracy:10.000000
lat: 31.501359, lng: 74.321039, accuracy:10.000000
lat: 31.501421, lng: 74.321094, accuracy:10.000000
lat: 31.501436, lng: 74.321197, accuracy:10.000000
lat: 31.501466, lng: 74.321297, accuracy:10.000000
lat: 31.501478, lng: 74.321425, accuracy:10.000000
lat: 31.501499, lng: 74.321545, accuracy:10.000000
lat: 31.501525, lng: 74.321666, accuracy:10.000000
lat: 31.501564, lng: 74.321793, accuracy:10.000000
lat: 31.501602, lng: 74.321914, accuracy:10.000000
lat: 31.501627, lng: 74.322035, accuracy:10.000000
lat: 31.501665, lng: 74.322168, accuracy:10.000000
lat: 31.501702, lng: 74.322306, accuracy:10.000000
lat: 31.501728, lng: 74.322418, accuracy:10.000000
lat: 31.501770, lng: 74.322535, accuracy:10.000000
lat: 31.501806, lng: 74.322691, accuracy:10.000000
lat: 31.501816, lng: 74.322820, accuracy:10.000000
lat: 31.501835, lng: 74.322993, accuracy:10.000000
lat: 31.501851, lng: 74.323129, accuracy:10.000000
lat: 31.501901, lng: 74.323276, accuracy:10.000000
lat: 31.501946, lng: 74.323412, accuracy:10.000000
lat: 31.502017, lng: 74.323604, accuracy:10.000000
lat: 31.502057, lng: 74.323764, accuracy:10.000000
lat: 31.502111, lng: 74.323907, accuracy:10.000000
lat: 31.502158, lng: 74.324064, accuracy:10.000000
lat: 31.502223, lng: 74.324099, accuracy:10.000000
lat: 31.502229, lng: 74.324172, accuracy:10.000000
lat: 31.502264, lng: 74.324272, accuracy:10.000000
lat: 31.502295, lng: 74.324375, accuracy:10.000000
lat: 31.502289, lng: 74.324448, accuracy:10.000000
lat: 31.502354, lng: 74.324580, accuracy:10.000000
lat: 31.502390, lng: 74.324676, accuracy:10.000000
lat: 31.502424, lng: 74.324763, accuracy:10.000000
lat: 31.502450, lng: 74.324870, accuracy:10.000000
lat: 31.502493, lng: 74.324977, accuracy:10.000000
lat: 31.502514, lng: 74.325097, accuracy:10.000000
lat: 31.502559, lng: 74.325191, accuracy:10.000000
lat: 31.502619, lng: 74.325348, accuracy:10.000000
lat: 31.502574, lng: 74.325391, accuracy:10.000000
lat: 31.502606, lng: 74.325470, accuracy:10.000000
lat: 31.502681, lng: 74.325558, accuracy:10.000000
lat: 31.502699, lng: 74.325668, accuracy:10.000000
lat: 31.502703, lng: 74.325719, accuracy:10.000000
lat: 31.502752, lng: 74.325808, accuracy:10.000000
lat: 31.502783, lng: 74.325893, accuracy:10.000000
lat: 31.502798, lng: 74.325979, accuracy:10.000000
lat: 31.502839, lng: 74.326074, accuracy:10.000000
lat: 31.502874, lng: 74.326188, accuracy:10.000000
lat: 31.502930, lng: 74.326332, accuracy:10.000000
lat: 31.502979, lng: 74.326479, accuracy:10.000000
lat: 31.503027, lng: 74.326623, accuracy:10.000000
lat: 31.503063, lng: 74.326744, accuracy:10.000000
lat: 31.503095, lng: 74.326881, accuracy:10.000000
lat: 31.503123, lng: 74.327017, accuracy:10.000000
lat: 31.503152, lng: 74.327152, accuracy:10.000000
lat: 31.503183, lng: 74.327304, accuracy:10.000000
lat: 31.503201, lng: 74.327436, accuracy:10.000000
lat: 31.503219, lng: 74.327549, accuracy:10.000000
lat: 31.503249, lng: 74.327678, accuracy:10.000000
lat: 31.503270, lng: 74.327806, accuracy:10.000000
lat: 31.503299, lng: 74.327932, accuracy:10.000000
lat: 31.503318, lng: 74.328053, accuracy:10.000000
lat: 31.503365, lng: 74.328160, accuracy:10.000000
lat: 31.503405, lng: 74.328229, accuracy:10.000000
lat: 31.503437, lng: 74.328329, accuracy:10.000000
lat: 31.503429, lng: 74.328430, accuracy:10.000000
lat: 31.503430, lng: 74.328577, accuracy:10.000000
lat: 31.503484, lng: 74.328751, accuracy:10.000000
lat: 31.503563, lng: 74.328818, accuracy:10.000000
lat: 31.503638, lng: 74.328975, accuracy:10.000000
lat: 31.503692, lng: 74.329299, accuracy:10.000000
lat: 31.503726, lng: 74.329385, accuracy:10.000000
lat: 31.503773, lng: 74.329519, accuracy:10.000000
lat: 31.503789, lng: 74.329634, accuracy:10.000000
lat: 31.503833, lng: 74.329748, accuracy:10.000000
lat: 31.503895, lng: 74.329921, accuracy:10.000000
lat: 31.503942, lng: 74.330057, accuracy:10.000000
lat: 31.504000, lng: 74.330235, accuracy:10.000000
lat: 31.504041, lng: 74.330440, accuracy:10.000000
lat: 31.504084, lng: 74.330547, accuracy:10.000000
lat: 31.504149, lng: 74.330728, accuracy:10.000000
lat: 31.504212, lng: 74.330893, accuracy:10.000000
lat: 31.504241, lng: 74.330949, accuracy:10.000000
lat: 31.504327, lng: 74.331146, accuracy:10.000000
lat: 31.504387, lng: 74.331295, accuracy:10.000000
