lat: 31.520119, lng: 74.412816, accuracy:30.000000
lat: 31.520261, lng: 74.413150, accuracy:10.000000
lat: 31.520318, lng: 74.413251, accuracy:10.000000
lat: 31.520339, lng: 74.413300, accuracy:10.000000
lat: 31.520360, lng: 74.413331, accuracy:10.000000
lat: 31.520408, lng: 74.413438, accuracy:10.000000
lat: 31.520417, lng: 74.413434, accuracy:10.000000
lat: 31.520427, lng: 74.413440, accuracy:10.000000
lat: 31.520480, lng: 74.413446, accuracy:5.000000
lat: 31.520482, lng: 74.413428, accuracy:10.000000
lat: 31.521606, lng: 74.409666, accuracy:372.657647
lat: 31.513366, lng: 74.368265, accuracy:30.000000
lat: 31.513346, lng: 74.368230, accuracy:30.000000
lat: 31.512755, lng: 74.368245, accuracy:10.000000
lat: 31.512670, lng: 74.368229, accuracy:10.000000
lat: 31.512574, lng: 74.368240, accuracy:10.000000
lat: 31.512462, lng: 74.368231, accuracy:10.000000
lat: 31.512351, lng: 74.368215, accuracy:10.000000
lat: 31.512239, lng: 74.368207, accuracy:10.000000
lat: 31.512107, lng: 74.368223, accuracy:10.000000
lat: 31.511980, lng: 74.368214, accuracy:10.000000
lat: 31.511853, lng: 74.368194, accuracy:10.000000
lat: 31.511721, lng: 74.368223, accuracy:10.000000
lat: 31.511597, lng: 74.368223, accuracy:10.000000
lat: 31.511462, lng: 74.368213, accuracy:10.000000
lat: 31.511335, lng: 74.368212, accuracy:10.000000
lat: 31.511197, lng: 74.368195, accuracy:10.000000
lat: 31.511077, lng: 74.368195, accuracy:10.000000
lat: 31.510953, lng: 74.368198, accuracy:10.000000
lat: 31.510869, lng: 74.368208, accuracy:10.000000
lat: 31.510764, lng: 74.368207, accuracy:10.000000
lat: 31.510683, lng: 74.368207, accuracy:10.000000
lat: 31.510618, lng: 74.368219, accuracy:10.000000
lat: 31.510691, lng: 74.368192, accuracy:10.000000
lat: 31.510652, lng: 74.368206, accuracy:10.000000
lat: 31.510663, lng: 74.368180, accuracy:10.000000
lat: 31.510638, lng: 74.368180, accuracy:10.000000
lat: 31.510582, lng: 74.368210, accuracy:10.000000
lat: 31.510560, lng: 74.368201, accuracy:10.000000
lat: 31.510508, lng: 74.368209, accuracy:10.000000
lat: 31.510441, lng: 74.368203, accuracy:10.000000
lat: 31.510371, lng: 74.368223, accuracy:10.000000
lat: 31.510299, lng: 74.368227, accuracy:10.000000
lat: 31.510217, lng: 74.368243, accuracy:10.000000
lat: 31.510137, lng: 74.368257, accuracy:10.000000
lat: 31.510060, lng: 74.368242, accuracy:10.000000
lat: 31.509963, lng: 74.368213, accuracy:10.000000
lat: 31.509894, lng: 74.368191, accuracy:30.000000
lat: 31.509836, lng: 74.368175, accuracy:30.000000
lat: 31.509601, lng: 74.368161, accuracy:10.000000
lat: 31.509401, lng: 74.368198, accuracy:10.000000
lat: 31.509290, lng: 74.368159, accuracy:10.000000
lat: 31.509154, lng: 74.368143, accuracy:10.000000
lat: 31.509039, lng: 74.368139, accuracy:10.000000
lat: 31.508936, lng: 74.368132, accuracy:10.000000
lat: 31.508851, lng: 74.368136, accuracy:10.000000
lat: 31.508724, lng: 74.368106, accuracy:10.000000
lat: 31.508603, lng: 74.368117, accuracy:10.000000
lat: 31.508491, lng: 74.368122, accuracy:10.000000
lat: 31.508355, lng: 74.368109, accuracy:10.000000
lat: 31.508230, lng: 74.368113, accuracy:10.000000
lat: 31.508112, lng: 74.368111, accuracy:10.000000
lat: 31.508008, lng: 74.368110, accuracy:10.000000
lat: 31.507893, lng: 74.368091, accuracy:10.000000
lat: 31.507784, lng: 74.368089, accuracy:10.000000
lat: 31.507687, lng: 74.368088, accuracy:10.000000
lat: 31.507611, lng: 74.368099, accuracy:10.000000
lat: 31.507504, lng: 74.368108, accuracy:10.000000
lat: 31.507418, lng: 74.368077, accuracy:10.000000
lat: 31.507336, lng: 74.368086, accuracy:10.000000
lat: 31.507275, lng: 74.368088, accuracy:10.000000
lat: 31.507216, lng: 74.368114, accuracy:10.000000
lat: 31.507137, lng: 74.368167, accuracy:10.000000
lat: 31.507102, lng: 74.368200, accuracy:10.000000
lat: 31.507034, lng: 74.368248, accuracy:10.000000
lat: 31.506991, lng: 74.368319, accuracy:10.000000
lat: 31.506962, lng: 74.368405, accuracy:10.000000
lat: 31.506940, lng: 74.368470, accuracy:10.000000
lat: 31.506876, lng: 74.368571, accuracy:10.000000
lat: 31.506803, lng: 74.368654, accuracy:10.000000
lat: 31.506825, lng: 74.368734, accuracy:10.000000
lat: 31.506798, lng: 74.368846, accuracy:10.000000
lat: 31.506779, lng: 74.368919, accuracy:10.000000
lat: 31.506757, lng: 74.369071, accuracy:10.000000
lat: 31.506783, lng: 74.369276, accuracy:10.000000
lat: 31.506765, lng: 74.369437, accuracy:10.000000
lat: 31.506758, lng: 74.369567, accuracy:10.000000
lat: 31.506763, lng: 74.369691, accuracy:10.000000
